                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1648,                 3.5023,                 1.2845,                   0.01,                0.79707,                0.06273,                 0.0398,                 1.0871,                 3.5599,                  1.218,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.1279,                 3.4821,                 1.2124,                0.01028,                0.79923,                0.06894,                0.04448,                 1.0525,                 3.5419,                  1.184,             4.9505e-05,             4.9505e-05,             4.9505e-05
                      3,                 1.0235,                 3.4255,                 1.1762,                  0.013,                0.86873,                0.13865,                  0.102,                0.84315,                 3.4603,                 1.0233,             7.8416e-05,             7.8416e-05,             7.8416e-05
                      4,                0.96203,                 3.2161,                 1.0892,                0.01491,                0.93852,                0.20323,                0.15439,                0.81236,                 3.3601,                0.98851,             0.00010673,             0.00010673,             0.00010673
                      5,                0.89732,                 2.7286,                 1.0682,                0.01572,                 0.9153,                0.24225,                0.18412,                0.83173,                 3.2136,                 1.0217,             0.00013446,             0.00013446,             0.00013446
                      6,                0.92608,                  2.517,                 1.0807,                0.01702,                0.97056,                0.29097,                0.22444,                0.84181,                 3.1003,                 1.0319,             0.00016159,             0.00016159,             0.00016159
                      7,                0.89235,                 2.3686,                 1.0719,                 0.0192,                      1,                0.33524,                0.25594,                0.85614,                 3.0173,                   1.04,             0.00018812,             0.00018812,             0.00018812
                      8,                0.89205,                  2.249,                 1.0786,                0.02057,                      1,                 0.3524,                0.27163,                0.84859,                 3.0152,                 1.0248,             0.00021406,             0.00021406,             0.00021406
                      9,                0.92167,                 1.9889,                 1.0755,                0.02388,                      1,                 0.3725,                0.29359,                0.83045,                 2.9915,                 1.0286,             0.00023941,             0.00023941,             0.00023941
                     10,                0.94725,                 1.8784,                 1.1033,                0.02569,                      1,                0.39683,                0.31377,                0.84846,                 2.9474,                 1.0253,             0.00026416,             0.00026416,             0.00026416
                     11,                0.89771,                  1.728,                 1.0587,                0.59569,                0.27514,                0.46075,                0.36704,                0.84109,                 2.7641,                 1.0184,             0.00028832,             0.00028832,             0.00028832
